"Schulz-Reiss, Christine";"Nachgefragt: Flucht und Integration.";"Loewe Verlag";"978-3-7855-8533-7";"KT";"6.95 EUR";"";"30.0";"236 g";" 2016;144 S.;210 mm;ab 12 J.;";"286";"Basiswissen zum Mitreden"
"Deuchars, Marion";"Malen und Zeichnen wie die großen Künstler.";"Midas";"978-3-907100-56-1";"KT";"24.90 EUR";"";"30.0";"760 g";" 2015;240 S.;292 mm;";"584";""
"Winzer, Jürgen";"GEOlino Quiz Tiere.";"moses. Verlag";"978-3-89777-862-7";"KT";"6.95 EUR";"";"35.0";"166 g";" 2016;100 S.;m. zahlr. farb. Illustr.;18 cm;Spiralbindung;ab 8 J.;";"282";""
"Küpper, Anke";"Blüten & Blätter sammeln.";"moses. Verlag";"978-3-89777-868-9";"GEB";"14.95 EUR";"";"35.0";"592 g";" 2016;114 S.;m. farb. Illustr.;24 cm;Spiralbindung;ab 3 J.;";"282";"Mein erstes Herbarium"
"Tennant, Jonathan";"Dinosaurier.";"moses. Verlag";"978-3-89777-828-3";"KT";"12.95 EUR";"";"35.0";"559 g";" 2015;80 S.;m. Illustr. v. Vladimir Nicolov u. Charlie Simpson, Beil.: 12 Skelette (3D-Modelle);297 mm;ab 8 J.;";"282";"Erforschen und Ausgraben"
"Berger, Nicola";"Die schönsten Kinderspiele aus aller Welt.";"moses. Verlag";"978-3-89777-832-0";"GEB";"14.95 EUR";"";"35.0";"368 g";" 2015;48 S.;m. Abb.;203 x 250 mm;ab 6 J.;";"293";""
"Sarcone, Gianni A.";"Vertigo.";"moses. Verlag";"978-3-89777-907-5";"KT";"12.95 EUR";"";"35.0";"734 g";" 2016;62 S.;29.7 x 42 cm;";"425";"50 schwindelerregende optische Illusionen"
"Walliman, Dominic";"Professor Astrokatz - Physik ohne Grenzen.";"NordSüd Verlag";"978-3-314-10362-9";"GEB";"22.99 EUR";"";"35.0";"608 g";" 2016;72 S.;m. zahlr. farb. Illustr. v. Ben Newman;29 cm;ab 7 J.;";"283";""
"Gernhäuser, Susanne";"Wir entdecken die Wunder der Natur.";"Ravensburger Buchverlag";"978-3-473-32655-6";"KT";"14.99 EUR";"";"35.0";"514 g";" 2016;16 S.;m. durchg. farb. Ill. u. Text u. Klappen;28 cm;Spiralbindung;von 4-7 J.;";"220";""
"Prusse, Daniela";"Der Pinguin.";"Ravensburger Buchverlag";"978-3-473-32652-5";"KT";"9.99 EUR";"";"35.0";"291 g";" 2016;16 S.;m. zahlr. farb. Illustr. u. Klappen;20 cm;Spiralbindung;von 2-4 J.;";"220";""
"Erne, Andrea";"Was machen wir im Winter?.";"Ravensburger Buchverlag";"978-3-473-32653-2";"KT";"9.99 EUR";"12";"35.0";"293 g";" 2016;16 S.;m. zahlr. bunten u. ausklappb. Bild.;20 cm;Spiralbindung;von 2-4 J.;";"220";""
"Kienle, Dela";"Erfindungen.";"Ravensburger Buchverlag";"978-3-473-32656-3";"KT";"14.99 EUR";"";"35.0";"598 g";" 2016;56 S.;m. zahlr. farb. Illustr. v. Jochen Windecker u. Ausklappseiten;305 mm;Spiralbindung;von 8-12 J.;";"283";"Mit ausklappbaren Entdecker-Seiten"
"Schwendemann, Andrea";"Katzen.";"Ravensburger Buchverlag";"978-3-473-32657-0";"GEB";"14.99 EUR";"";"35.0";"598 g";" 2016;56 S.;m. zahlr. farb. Illustr. u. Fotos sowie Ausklapp-S.;305 mm;Spiralbindung;von 8-12 J.;";"282";""
"Hensel, Wolfgang";"So funktioniert's! - Fahrzeuge und Maschinen.";"Ravensburger Buchverlag";"978-3-473-55439-3";"GEB";"12.99 EUR";"";"35.0";"566 g";" 2016;96 S.;m. zahlr. farb. Illustr. v. John Paul u. farb. Fotos;270 mm;von 7-10 J.;";"283";""
"Warning, Barbara";"Heimisch und doch fremd.";"Ravensburger Buchverlag";"978-3-473-55447-8";"GEB";"16.99 EUR";"";"35.0";"610 g";" 2016;248 S.;m. zahlr. farb. Fotos;215 mm;von 14-99 J.;";"286";"Junge Migranten erzählen, wie Integration gelingt"
"Herrmann, Heike";"Höhle, Tunnel, Ameisenbau.";"Tessloff";"978-3-7886-2218-3";"GEB";"12.95 EUR";"21";"31.0";"670 g";" 2016;24 S.;m. zahlr. bunten z. Tl. ausklappb. Bild.;27.2 cm;ab 4 J.;";"220";"Forschen und Spielen ab 4 Jahren. Mit Entdecker-Klappen!"
"Flessner, Bernd";"Zukunft. Alles im Wandel.";"Tessloff";"978-3-7886-2103-2";"GEB";"9.95 EUR";"21";"31.0";"450 g";" 2016;48 S.;m. zahlr. Fotos, Illustr. u. Abb.;27.8 cm;ab 8 J.;";"281";""
"Baur, Manfred";"Polargebiete. Leben in eisigen Welten.";"Tessloff";"978-3-7886-2100-1";"GEB";"9.95 EUR";"21";"31.0";"450 g";" 2016;48 S.;m. zahlr. Fotos, Illustr. u. Abb.;27.8 cm;ab 8 J.;";"282";""
"Bone, Emily";"Mein erster großer Bildatlas.";"Usborne Verlag";"978-1-78232-453-9";"GEB";"14.95 EUR";"21";"30.0";"";" 2016;40 S.;355 mm;ab 5 J.;";"291";""
"Daynes, Katie";"Sind Wolken aus Watte? 60 schlaue Fragen über unsere Erde.";"Usborne Verlag";"978-1-78232-472-0";"GEB";"12.95 EUR";"21";"30.0";"";" 2016;14 S.;276 mm;ab 4 J.;";"282";""
"Daynes, Katie";"Erstes Aufklappen und Verstehen: Warum regnet es?.";"Usborne Verlag";"978-1-78232-471-3";"GEB";"11.95 EUR";"21";"30.0";"399 g";" 2016;12 S.;216 mm;ab 3 J.;";"282";""
"Sasek, Miroslav";"Rund um die Welt.";"Verlag Antje Kunstmann";"978-3-95614-134-8";"GEB";"38.00 EUR";"";"31.0";"1434 g";" 2016;248 S.;m. zahlr. farb. Illustr.;320 mm;Grundschulalter;";"289";""
"Johnstone, Matthew";"Der schwarze Hund.";"Verlag Antje Kunstmann";"978-3-95614-137-9";"KT";"20.00 EUR";"21";"31.0";"222 g";" 2016;128 S.;130 x 190 mm;Englisch Broschur;";"531";"Wie man Depressionen überwindet und Angehörige und Freunde dabei helfen können"
"Seo, Bo-hyeon Seo";"Das Geheimnis des Mondes.";"Aracari";"978-3-905945-65-2";"GEB";"14.90 EUR";"";"35.0";"403 g";" 2016;36 S.;m. zahlr. bunten Bild.;265 mm;von 4-7 J.;";"220";"Bilderbuch"
