"Huang, Yu-hsuan";"Guck mal, schieb mal! - Fröhliche Weihnachten.";"Loewe Verlag";"978-3-7855-8802-4";"PP";"9.95 EUR";"";"30.0";"274 g";" 2017;10 S.;m. zahlr. bunten  u. bewegl. Bild.;180 mm;Unzerr.;ab 2 J.;";"210";""
"Underwood, Deborah";"Gestatten, die Weihnachtskatze!.";"Loewe Verlag";"978-3-7855-8845-1";"GEB";"8.95 EUR";"";"30.0";"423 g";" 2017;96 S.;m. zahl. bunten Bild.;205 mm;ab 3 J.;";"210";""
"Maruyama, Yoko";"Little Santa - Der kleine Weihnachtsmann.";"Minedition";"978-3-86566-317-7";"GEB";"14.95 EUR";"";"35.0";"424 g";" 2017;40 S.;m. zahlr. bunten Bild.;25,5 x 27 cm;ab 3 J.;";"210";""
"Westerlund, Kate";"Die Botschaft der Vögel.";"Minedition";"978-3-86566-230-9";"GEB";"8.95 EUR";"";"35.0";"146 g";" 2017;32 S.;m. zahlr. bunten Bild.;19 cm;ab 3 J.;";"210";""
"Maar, Paul";"Das Sams feiert Weihnachten.";"Oetinger";"978-3-7891-0816-7";"GEB";"12.99 EUR";"";"35.0";"478 g";" Jubiläumsausg.;2017;144 S.;m. Illustr.;210 mm;ab 7 J.;";"250";""
"Robinson, Barbara";"Hilfe, die Herdmanns kommen!.";"Oetinger";"978-3-7891-0771-9";"GEB";"12.99 EUR";"";"35.0";"384 g";" Neuauflage;2017;128 S.;210 mm;ab 8 J.;";"250";""
"Lindgren, Astrid";"Tomte und der Fuchs.";"Oetinger";"978-3-7891-0854-9";"GEB";"12.99 EUR";"";"35.0";"323 g";" 2017;32 S.;m. zahl. bunten Bild.;280 mm;ab 4 J.;";"210";""
"Hansen, Christiane";"Wenn sieben weihnachtliche Hasen fröhlich um die Tanne rasen.";"Oetinger";"978-3-7891-0839-6";"PP";"8.00 EUR";"";"35.0";"286 g";" 2017;16 S.;m. zahlr. bunten Bild.;240 mm;Unzerr.;ab 2 J.;";"210";""
"Härtling, Sophie";"O du fröhliche!.";"Oetinger";"978-3-7891-6605-1";"GEB";"14.99 EUR";"";"35.0";"670 g";" 2002;94 S.;m. zahlr. farb. Illustr.;29 cm;Für Kinder u. Jugendliche;";"230";"Das Weihnachtsliederbuch"
"Lindgren, Astrid";"Pippi Langstrumpf feiert Weihnachten.";"Oetinger";"978-3-7891-0872-3";"GEB";"7.99 EUR";"";"35.0";"252 g";" 2017;48 S.;m. Illustr.;210 mm;ab 6 J.;";"240";"1. Klasse"
"Maar, Paul";"Das Sams feiert Weihnachten.";"Oetinger";"978-3-7891-0816-7";"GEB";"12.99 EUR";"";"35.0";"478 g";" Jubiläumsausg.;2017;144 S.;m. Illustr.;210 mm;ab 7 J.;";"250";""
"Prusse, Daniela";"Wach auf, lieber Weihnachtsmann!.";"Ravensburger Buchverlag";"978-3-473-43642-2";"PP";"4.99 EUR";"";"35.0";"139 g";" 2017;16 S.;m. zahlr. bunten Bild.;160 mm;ab 2 J.;";"210";""
"Prusse, Daniela";"Wach auf, lieber Weihnachtsmann!.";"Ravensburger Buchverlag";"978-3-473-43642-2";"PP";"4.99 EUR";"";"35.0";"139 g";" 2017;16 S.;m. zahlr. bunten Bild.;160 mm;ab 2 J.;";"210";""
"Prusse, Daniela";"Wach auf, lieber Weihnachtsmann!.";"Ravensburger Buchverlag";"978-3-473-43642-2";"PP";"4.99 EUR";"";"35.0";"139 g";" 2017;16 S.;m. zahlr. bunten Bild.;160 mm;ab 2 J.;";"210";""
"Grimm, Sandra";"Meine allerersten Weihnachtsgeschichten.";"Ravensburger Buchverlag";"978-3-473-43651-4";"PP";"7.99 EUR";"";"35.0";"347 g";" 2. Aufl.;2017;40 S.;m. zahlr. bunten Bild.;160 mm;ab 2 J.;";"210";""
"Penners, Bernd";"Fröhliche Weihnachten.";"Ravensburger Buchverlag";"978-3-473-43659-0";"PP";"14.99 EUR";"";"35.0";"446 g";" 2017;12 S.;m. zahlr. bunten Bild. u. Schiebern;23,5 cm;ab 2 J.;";"210";""
