"Scheffler, Axel";"Hase und Igel.";"Beltz";"978-3-407-76183-5";"KT";"6.50 EUR";"";"33.0";"96 g";" 2017;32 S.;m. zahlr. bunten Bild.;15.1 x 19.1 cm;ab 3 J.;";"210";""
"Mari, Iela";"Ein Baum geht durch das Jahr.";"Beltz";"978-3-407-76182-8";"KT";"6.50 EUR";"";"33.0";"105 g";" 2017;36 S.;m. zahlr. bunten Bild.;15.1 x 19.1 cm;ab 3 J.;";"210";""
"Könnecke, Ole";"Anton kann zaubern.";"Beltz";"978-3-407-76180-4";"KT";"6.50 EUR";"";"33.0";"104 g";" 2017;36 S.;m. zahlr. bunten Bild.;15.1 x 19.1 cm;ab 3 J.;";"210";""
