"Torseter, Øyvind";"Ein Mann für alle Fälle.";"Gerstenberg Verlag";"978-3-8369-6058-8";"GEB";"18.00 EUR";"21";"35.0";"";" 2020;136 S.;durchgehend farbig;220.0 mm;von 10-99 J.;";"180";"Thriller"
"Aakeson, Kim Fupz";"Hugo & Hassan.";"Klett Kinderbuch Verlag";"978-3-95470-238-1";"GEB";"15.00 EUR";"21";"30.0";"";" 2020;104 S.;24 cm;ab 8 J.;";"250";""
"Perreault, Guillaume";"Der Weltraumpostbote.";"Rotopol";"978-3-96451-017-4";"GEB";"18.00 EUR";"21";"35.0";"";" 2020;144 S.;144 Abb.;ab 6 J.;";"250";""
