"Dölling, Beate";"Allein unter Mädchen.";"Tulipan";"978-3-86429-482-2";"GEB";"8.95 EUR";"21";"30.0";"";" 2020;48 S.;Durchgehend farbig illustriert;21 cm;ab 6 J.;";"240";""
"Wolfermann, iris";"Karla und das Geburtstagsgeheimnis.";"Tulipan";"978-3-86429-468-6";"GEB";"8.95 EUR";"21";"30.0";"";" 2020;48 S.;Durchgehend farbig illustriert;21 cm;ab 7 J.;";"240";""
"Nymphius, Jutta";"Mehr Schweinchen.";"Tulipan";"978-3-86429-479-2";"GEB";"10.00 EUR";"21";"30.0";"";" 2020;64 S.;Durchgehend zweifarbig illustriert;19.2 cm;ab 7 J.;";"240";""
"Schaudinn, Jasmin";"Edda aus dem Moospfad.";"Oetinger";"978-3-7891-1042-9";"GEB";"12.00 EUR";"21";"35.0";"";" 2020;144 S.;53 farbige Abbildungen und 53 Illustrationen;232 mm;ab 6 J.;";"250";""
"Lindgren, Astrid";"Pippi Langstrumpf.";"Oetinger";"978-3-7891-1450-2";"GEB";"20.00 EUR";"21";"35.0";"";" 2020;400 S.;60 farbige Abbildungen und 60 Illustrationen;210 mm;ab 6 J.;";"250";"Alle Abenteuer in einem Band"
"Dickreiter, Lisa-Marie";"Berti und seine Brüder - Der voll verpatzte Schulstart.";"Oetinger";"978-3-7891-1070-2";"GEB";"8.00 EUR";"21";"35.0";"";" 2020;64 S.;30 farbige Abbildungen und 30 Illustrationen;210 mm;ab 6 J.;";"240";"1. Lesestufe"
"Lagercrantz, Rose";"So glücklich wie noch nie?.";"Moritz";"978-3-89565-390-2";"GEB";"12.95 EUR";"21";"30.0";"";" 2020;224 S.;218 mm;ab 7 J.;";"250";""
"Stark, Ulf";"Als ich die Pflaumen des Riesen klaute.";"Urachhaus";"978-3-8251-5222-2";"GEB";"14.00 EUR";"21";"33.0";"";" 2020;90 S.;Seiten mit farbigen Innenillustrationen;ab 6 J.;";"250";""
"Lind, Åsa";"Zackarina und der Sandwolf.";"Beltz";"978-3-407-74992-5";"GEB";"9.95 EUR";"21";"33.0";"";" 2020;120 S.;212 mm;ab 7 J.;";"250";""
"Barrie, James M.";"Peter Pan.";"Dressler Verlag GmbH";"978-3-7915-0136-9";"GEB";"12.00 EUR";"21";"35.0";"";" 2020;224 S.;203 mm;ab 7 J.;";"250";""
"Cuevas, Michelle";"Sam - ein unerschrockener Schatten.";"Jacoby & Stuart";"978-3-96428-050-3";"GEB";"15.00 EUR";"21";"30.0";"";" 2020;48 S.;durchgehend farbig;25 cm;ab 6 J.;";"210";""
"Mourlevat, Jean-Claude";"Jefferson.";"Jacoby & Stuart";"978-3-96428-056-5";"GEB";"15.00 EUR";"21";"30.0";"";" 2020;300 S.;Mit Bilder von Antoine Ronzon;21 cm;ab 8 J.;";"250";""
"Bertram, Rüdiger";"Unsere kleine Insel.";"DTV";"978-3-423-76281-6";"GEB";"12.95 EUR";"21";"30.0";"";" 2020;128 S.;Mit vierfarbigen Illustrationen;235 mm;ab 6 J.;";"250";""
"Collet, Géraldine";"Voll auf die Nuss!.";"Midas";"978-3-03876-166-2";"GEB";"15.00 EUR";"21";"25.0";"";" 2020;32 S.;m. zahlr. bunten Bild.;275 mm;Fadenheftung;von 4-8 J.;";"210";""
