"Kipling, Rudyard";"Das Dschungelbuch, Audio-CD.";"Arena";"978-3-401-24067-1";"CD";"9.99 EUR";"21";"35.0";"";" 2017;ab 7 J.;";"250";"Lesung"
"Honeyman, Gail";"Ich, Eleanor Oliphant, 6 Audio-CDs.";"Bastei Lübbe";"978-3-7857-5473-3";"CD";"20.00 EUR";"21";"35.0";"";" 1. Aufl. 2017;2017;von 16-99 J.;";"111";"Roman."
"Gaiman, Neil";"Nordische Mythen und Sagen, 6 Audio-CDs.";"Bastei Lübbe";"978-3-7857-5516-7";"CD";"20.00 EUR";"21";"35.0";"";" 1. Aufl. 2017;2017;Spieldauer 450 Min;von 16-99 J.;";"140";""
"Till, Jochen";"Luzifer junior - Zu gut für die Hölle, 2 Audio-CDs.";"Der Audio Verlag, DAV";"978-3-86231-970-1";"CD";"12.99 EUR";"21";"30.0";"";" 2017;";"250";"Lesung mit Christoph Maria Herbst (2 CDs), Lesung"
"Funke, Cornelia";"Der geheimnisvolle Ritter Namenlos und fünf weitere klingende Bilderbücher, 1 Audio-CD.";"Der Audio Verlag, DAV";"978-3-7424-0061-1";"CD";"7.99 EUR";"21";"30.0";"";" 2017;";"210";"Szenische Lesungen mit Claus-Dieter Clausnitzer u.v.a. (1 CD), Lesung"
"Ruck-Pauquèt, Gina";"Sandmännchens Geschichtenbuch - Alle 60 Gutenachtgeschichten, 3 Audio-CDs.";"Der Audio Verlag, DAV";"978-3-86231-980-0";"CD";"14.99 EUR";"21";"30.0";"";" 2017;ab 3 J.;";"230";"Ungekürzte Lesung mit Christiane Paul (3 CDs), Lesung"
"Björk, Christina";"Sieben Prinzessinnen und jede Menge Drachen, 1 Audio-CD.";"Der Audio Verlag, DAV";"978-3-7424-0049-9";"CD";"9.99 EUR";"21";"30.0";"";" 2017;";"210";"Hörspiel mit Gregor Höppner u.v.a. (1 CD), Hörspiel"
"Preußler, Otfried";"Die kleine Hexe, 2 Audio-CDs.";"Der Audio Verlag, DAV";"978-3-86231-981-7";"CD";"14.99 EUR";"21";"30.0";"";" 2017;ab 5 J.;";"240";"Ungekürzte Lesung mit Karoline Herfurth (2 CDs), Lesung"
"Schmidt, Barbara";"Kamfu mir helfen? und andere Geschichten, 1 Audio-CD.";"Oetinger Media";"978-3-8373-0983-6";"CD";"5.00 EUR";"21";"30.0";"";" 2017;ab 3 J.;";"210";"Ungekürzte Lesung, ca. 25 min., Musikdarbietung/Musical/Oper"
"Lindgren, Astrid";"Lotta zieht um, 1 Audio-CD.";"Oetinger Media";"978-3-8373-0949-2";"CD";"5.00 EUR";"21";"30.0";"";" 2017;ab 4 J.;";"210";"Ungekürzte Lesung, ca. 30 min., Musikdarbietung/Musical/Oper"
"Friester, Paul";"Heule Eule und andere Geschichten - Die Hörspiele, Audio-CD.";"Oetinger Media";"978-3-8373-0969-0";"CD";"9.99 EUR";"21";"30.0";"";" 2017;ab 3 J.;";"210";"Hörspiele, ca. 30 min., Musikdarbietung/Musical/Oper"
"Lindgren, Astrid";"Die schönsten Geschichten von Astrid Lindgren, 3 Audio-CD.";"Oetinger Media";"978-3-8373-1003-0";"CD";"14.99 EUR";"21";"30.0";"";" 2017;ab 4 J.;";"210";"Lesungen und Hörspiele, ca. 150 Min., Musikdarbietung/Musical/Oper"
"Carter, Aimée";"Animox - Das Auge der Schlange, 4 Audio-CDs.";"Oetinger Media";"978-3-8373-0997-3";"CD";"16.99 EUR";"21";"30.0";"";" 2017;ab 10 J.;";"250";"Band 2, Autorisierte Lesefassung, ca. 300 min., Musikdarbietung/Musical/Oper"
"Schami, Rafik";"Der Kameltreiber von Heidelberg und andere Geschichten, Audio-CD.";"Steinbach sprechende Bücher";"978-3-86974-269-4";"CD";"12.99 EUR";"21";"35.0";"";" 2017;1 S.;JEWELCASE;";"111";""
