AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV";Kategorie
"Birck, Jan";"Storm und die Fußballgötter";;Carlsen;;"13,00 €";2019;978-3-551-65126-6;"von 6 bis 10 Jahren";"Fußball? Kennt jeder. Doch wie ist es erfunden worden? Jan Birck erzählt von einem kleinen Wikinger-Jungen namens Storm, der eine bahnbrechende Erfindung macht. Eine Erfindung, die alles verändert!. BAND 2: Storm muss sich einer anspruchsvollen Prüfung unterziehen, um ein echter Wikinger zu werden. Dabei geht es mithilfe von zwei Riesenvögeln hinauf in die allerhöchsten Berge. Und wen trifft Storm dort? Die echten Fußballgötter!. Band 1 nominiert für ""Lese-Kicker 2018"". Platz 1 aller Fußball-Lesebücher. Für alle Fußball-Fans ab 6 Jahren. Zum Vorlesen und erstem Selberlesen: Lesespaß für die ganze Familie!Mit vierfarbigen Bildern: bunt illustriert von Jan Birck. ";Vierfarbig.;gebunden;176;"17,8cm x 24,6cm";storm-und-die-fussballgoetter.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-65126-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262006&kennwort=MNNOCNHONDFJMQ&variante=zoom&rang=01;Bücher-ab-6
"Grimm, Sandra";"Kleine Wirbelhexe Lexa";"Der Bücherbär: Mein LeseBilderbuch";Arena;"Illustration: Kaden, Outi";"8,99 €";2019;978-3-401-71299-4;"ab 5 Jahren";"Die kleine Hexe Lexa kocht am liebsten Kürbissuppe. Hmm! Doch heute geht einfach alles schief! Zuerst fallen verhexte Pilze in die Suppe und dann zaubert ihr Zauberstab lauter seltsame Dinge. Verhext nochmal! Und auch nebenan bei Zauberer Wim ist nichts so wie es sein soll ... Ob die beiden das Zauberdurcheinander werden lösen können?";;gebunden;56;"17,2cm x 27,1cm";kleine-wirbelhexe-lexa.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71299-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138198&kennwort=NPHHORGKPUFHMY&variante=zoom&rang=01;Bücher-ab-6
"Kaup, Ulrike";"Dino Oskar und das geheimnisvolle Ei";;Arena;"Illustration: Bruder, Elli";"7,99 €";2019;978-3-401-71017-4;"ab 5 Jahren";"Dino Oskar liebt Fressen! Und deshalb hat er gegen ein großes Frühstücksei natürlich nichts einzuwenden. Doch plötzlich macht es KNACKS! - und aus dem Ei schlüpft ein kleines Wesen. Irgendwie sieht es seltsam aus. Und wo sind seine Eltern? Oskar beschließt, es zurück nach Hause zu bringen. Doch auf dem Weg wartet ein echtes Abenteuer auf ihn ...";"Mit Bücherbärfigur am Lesebändchen.";gebunden;48;"17,2cm x 27,4cm";dino-oskar-und-das-geheimnisvolle-ei.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71017-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138073&kennwort=IJNRRCGRLSBHJN&variante=zoom&rang=01;Bücher-ab-6
"Kaup, Ulrike";"Detektivbüro Eulenauge - Willi Watson und der Mitternachtsdieb";"Eine Detektivgeschichte zum Mitraten";Arena;"Illustration: Balmaseda, Marta";"7,99 €";2019;978-3-401-71199-7;"ab 6 Jahren";"Zertrampelte Blumen, zermatschte Törtchen und allerlei seltsame Diebstähle. Wer treibt da nur nachts sein Unwesen im Wald? Ein Gespenst? Aber welches Gespenst trägt denn pinkfarbene Puschen? Eines ist sicher: Das ist ein neuer Fall für das Detektivbüro Eulenauge!";"Mit Bücherbärfigur am Lesebändchen.";gebunden;56;"16,1cm x 20,9cm";detektivbuero-eulenauge-willi-watson-und-der-mitternachtsdieb.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71199-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138108&kennwort=JLPPAEPJQPFHLO&variante=zoom&rang=01;Bücher-ab-6
"Knorre, Alexander von";"Juli & August - Krokodil über Bord";;DTV;"Illustration: Knorre, Alexander von";"12,95 €";2019;978-3-423-76248-9;"ab 6 Jahren";"Floßfahrt ins Abenteuer. Gemütlich treibt der 8-jährige August auf einem aufblasbaren Gummi-Krokodil mitten auf dem Meer. Eigentlich hätte er jetzt gern ein Eis, stattdessen begegnet er Juli. Die schippert da ganz lässig auf ihrem Floß herum. Das Floß ist ihr Zuhause, bestens ausgestattet mit Hängematte, Huhn und einer Meerwasserdusche. Nur zu gerne würde August bei Juli als Schiffsjunge anheuern. Aber Juli lässt nicht jeden auf ihr Floß, erst muss August beweisen, dass er geeignet ist. Nach und nach freunden die zwei sich an und erleben gemeinsam die Abenteuer, Gefahren und Glücksmomente eines Vagabunden-Lebens auf hoher See.";"Mit farbigen Illustrationen von Alexander von Knorre.";gebunden;128;;juli-august-krokodil-ueber-bord.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-423-76248-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74865624&kennwort=YPNKEGPELRIPCG&variante=zoom&rang=01;Bücher-ab-6
"Kranendonk, Anke";"Käpt`n Kalle";;Carlsen;"Übersetzung: Hachmeister, Sylke. Illustration: Haeringen, Annemarie van";"6,99 €";2019;978-3-551-31806-0;"von 6 bis 10 Jahren";"Kalle bekommt ein Boot. Sein eigenes Boot! Das muss er sofort ausprobieren. Und zwar zusammen mit Max, dem Hund der Nachbarin, und natürlich dem Meerschweinchen Hektor. Aber so einfach ist das gar nicht. Jedenfalls erstmal. Dann aber fahren alle drei auf den Fluss hinaus zu den großen Schiffen. Das ist toll, aber fast zu spannend. Zum Glück trifft Kalle unterwegs Septimia. Die hat kein Haustier, also schenkt Kalle ihr Hektor. Dann muss er weiter, mehr Abenteuer erleben, ehe er die beiden schließlich zum Eisessen wiedersieht.";;kartoniert;160;;kaept-n-kalle.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31806-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260662&kennwort=RBILQEJOPBGSNF&variante=zoom&rang=01;Bücher-ab-6
"Pauli, Lorenz";"Am Sonntag, als das Ei aufging";"Drei Geschichten";"Atlantis, Orell Füssli";"Illustration: Schärer, Kathrin";"14,95 €";2019;978-3-7152-0766-7;"ab 6 Jahren";"Drei witzige Geschichten laden dazu ein, das Selberlesen zu entdecken:. Das Fest war toll! Wann feiern wir wieder? - Der Bär und der Igel versuchen zu zählen und reisen in Gedanken durch Wochentage, Monate und Jahreszeiten. Ein Hamster reist durch die Welt und kann mit viel Geschick gefährliche Situationen meistern. Und ein kleiner Vogel brütet ein riesiges Ei aus. Was herausspringt, kann verwirren, aber das Ende überrascht im besten Sinn.. Nicht nur die kurzen Texte bringen uns zum Lachen. Die Bilder steigern die Komik, die Geschichten schlagen Purzelbäume.";;gebunden;112;"15,8cm x 24,6cm";am-sonntag-als-das-ei-aufging.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7152-0766-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74793346&kennwort=UMPFSOHIQEKPFL&variante=zoom&rang=01;Bücher-ab-6
"Reichenstetter, Friederun";"So leben die Tiere. Der Wolf";;Arena;"Illustration: Döring, Hans-Günther";"7,99 €";2019;978-3-401-71348-9;"ab 6 Jahren";"Wer lebt in Rudeln, ist in der Dämmerung aktiv und hat einen phänomenalen Geruchssinn? Natürlich der Wolf! Wie lebt er, der Vorfahr der Hunde? Wovon ernährt er sich? Wie zieht er seine Jungen groß? Spannendes und Wissenswertes rund um den heimischen Jäger und seine Lebenswelt.";"Mit Bücherbärfigur am Lesebändchen.";gebunden;48;"15,7cm x 22,1cm";so-leben-die-tiere-der-wolf.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71348-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138202&kennwort=HGIMPTHHIMXBIH&variante=zoom&rang=01;Bücher-ab-6
"Schlichtmann, Silke";"Mattis und das klebende Klassenzimmer";;Hanser;"Illustration: Bohn, Maja";"10,00 €";2019;978-3-446-26220-1;"ab 7 Jahren";"Eine neue Reihe über den erfinderischen Mattis, dem trotz bester Absichten immer wieder Lehrerbriefe über sein angebliches Fehlverhalten ins Haus flattern. Dabei hat Mattis richtig gute Ideen: Zum Beispiel hilft er seinen Mitschülern stillzusitzen, indem er sie mit Sekundenkleber an Tischen und Stühlen festklebt! Blöd ist nur, dass der Lehrer das nicht kapiert und mal wieder einen Brief an seine Eltern schreibt. Mattis muss das zu Hause unbedingt richtigstellen - aber das tut er garantiert auf die originellste Weise! Ein urkomischer Lesespaß für Schulanfänger.";"Durchgehend vierfarbig illustriert.";gebunden;64;"18cm x 21cm";mattis-und-das-klebende-klassenzimmer.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-446-26220-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73544355&kennwort=JLMQLFMLRDHKPN&variante=zoom&rang=01;Bücher-ab-6
"Schmitz, Hanna";"Die lustigsten Kinderwitze";"Von komischen Vögeln und lachenden Hühnern";Arena;"Herausgegeben von Schmitz, Hanna. Illustration: Rieckhoff, Jürgen";"7,99 €";2019;978-3-401-71361-8;"ab 6 Jahren";"So macht Lesen lernen Spaß! Die kunterbunten Kinderwitze aus der Schule, dem Tierreich und dem Alltag bringen einfach jeden zum Lachen. Selbst ungeübte Leseanfänger können die kurzen Texte leicht bewältigen und die Pointen schnell erfassen.";"Mit farbigen Illustrationen, mit Bücherbärfigur am Lesebändchen.";gebunden;48;"15,6cm x 21,9cm";die-lustigsten-kinderwitze.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71361-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138235&kennwort=JLPPAEPJQPFHLO&variante=zoom&rang=01;Bücher-ab-6
