AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV";Kategorie
"Pantermüller, Alice";"Mein Lotta-Leben - Wer den Wal hat";;Arena;"Illustration: Kohl, Daniela";"9,99 €";2019;978-3-401-60334-6;"ab 9 Jahren";"Oh Mann! Eigentlich hatte Lottas Geburtstag ja ziemlich gut angefangen. Ganz feierlich und mit jeder Menge Geschenke. Aber dann ist doch wieder was schiefgegangen. Statt ihres Lieblingshunds Anton haben ihr Mama und Papa eine Sprachreise auf eine englische Insel geschenkt: English & Adventure! Das Programm hört sich irgendwie spannend und wild an, aber was soll Lotta denn alleine auf einer Insel, wo alle nur Englisch reden? Wenn doch nur Cheyenne mitkommen würde ...";"Mit runden Ecken.";gebunden;160;"13,6cm x 21,1cm";mein-lotta-leben-wer-den-wal-hat.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-60334-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138027&kennwort=KJNOCNHONDFJMQ&variante=zoom&rang=01;Bücher-ab-10
"Kinney, Jeff";"Gregs Tagebuch - So ein Mist!";"Ein Comic-Roman";"Baumhaus Medien";"Übersetzung: Schmidt, Dietmar";"9,00 €";2019;978-3-8432-1106-2;"ab 10 Jahren";"Greg ist entsetzt, als seine Mom für die ganze Stadt ein elektronikfreies Wochenende organisieren will. Zwei Tage ohne Handy, Fernsehen und Computerspiele? Stattdessen gemeinsames Saubermachen im Park, Nachmittage in der freien Natur und ein altmodischer Limonadenstand? So ein Mist!, findet Greg und hat schon bei dem Gedanken daran die Nase voll. Dabei ist das erst der Anfang seiner Probleme, denn die Klassenfahrt zur Schweiß-und-Fleiß-Farm steht an .... Gregs Tagebuch ist eine der erfolgreichsten Kinderbuchreihen der Welt. Die humorvollen Comics um Greg Heffley besitzen mittlerweile Kultstatus.";"Erstauflage, mit Comics.";kartoniert;224;"12,5cm x 18,7cm";gregs-tagebuch-so-ein-mist.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8432-1106-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74197494&kennwort=FLBOKTEMQGLRDJ&variante=zoom&rang=01;Bücher-ab-10
"Rowling, J. K.";"Die Märchen von Beedle dem Barden, Schmuckausgabe";"Mit einem Kommentar von Albus Dumbledore";Carlsen;"Übersetzung: Fritz, Klaus. Illustration: Zwerger, Lisbeth";"30,00 €";2018;978-3-551-55710-0;"von 10 bis 99 Jahren";"Die Märchen von Beedle dem Barden versammeln fünf fantasievolle Geschichten voller Abenteuer, Arglist, Herzweh und natürlich voller Magie. Für die magische Gemeinschaft sind sie ebenso wichtig wie die Märchen der Gebrüder Grimm für die Muggelwelt.. Diese opulent illustrierte Ausgabe wurde von Hermine Granger aus den ursprünglichen Runen übertragen und mit einem Kommentar von Albus Dumbledore versehen. Und jetzt hat Lisbeth Zwerger, ausgezeichnet mit dem Hans Christian Andersen Preis, diese Märchen für heutige Leser wunderschön und zart (und mit einem Augenzwinkern) neu interpretiert. Ergänzt durch eine Einleitung und Fußnoten von J.K. Rowling wird diese Zusammenstellung Muggel und Zauberer gleichermaßen begeistern und erfreuen.";"Mit farbigen Illustrationen.";gebunden;160;"25,8cm x 29,8cm";die-maerchen-von-beedle-dem-barden-schmuckausgabe.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55710-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73019706&kennwort=PPHHORGKPQFHMY&variante=zoom&rang=01;Bücher-ab-10
"Letterie, Martine";"Kinder mit Stern";;Carlsen;"Übersetzung: Kluitmann, Andrea. Illustration: Völk, Julie";"11,00 €";2019;978-3-551-55762-9;"von 10 bis 14 Jahren";"""So ein Quatsch, dass ihr nicht in den Zoo dürft!"", hatte Lies gesagt. ""Ich gehe mit Rosa dahin, wenn sie Geburtstag hat. Davon hält mich keiner ab!"". Rosa liebt den Zoo. Die Giraffen mit ihrem weichen Fell und den schönen Augen mag sie besonders gern. Und Jules will eigentlich bloß mit der Straßenbahn zu seinem besten Freund fahren, so wie immer.Doch auf einmal dürfen sie das nicht mehr. Denn es ist 1940 und nach dem Überfall der Deutschen auf die Niederlande wird das Leben jüdischer Kinder und ihrer Familien von Tag zu Tag schwieriger. Aber Rosa und Jules, Klaartje, Leo, Ruth und Bennie, von denen in diesem Buch erzählt wird, erleben nicht nur Schrecken und Leid, sondern trotz allem auch Momente voller Glück und Zusammenhalt.. Ein wichtiges Buch gegen das Vergessen.";"Mit farbigen Illustrationen.";gebunden;128;"15,2cm x 21cm";kinder-mit-stern.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55762-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260708&kennwort=SFINRGHMODPKSC&variante=zoom&rang=01;Bücher-ab-10
"Fleming, Anne";"Ziegen bringen Glück";;Carlsen;"Übersetzung: Herzke, Ingo. Illustration: Waechter, Philip";"10,99 €";2019;978-3-551-55382-9;"von 10 bis 99 Jahren";"Als die 11-jährige Kid mit ihren Eltern nach New York kommt, um auf den Hund eines Verwandten aufzupassen, bemerkt sie auf dem Dach des Hochhauses etwas, das aussieht wie eine kleine weiße Wolke. Man munkelt, dass dort oben eine Bergziege leben soll. Aber kann das wirklich sein? Gemeinsam mit dem gleichaltrigen Will macht Kid sich auf die Suche und sammelt bei den faszinierenden wie schrulligen Hausbewohnern nach Hinweisen - denn demjenigen, der die Ziege sieht, winken sieben Jahre Glück!";;gebunden;160;"15,2cm x 21cm";ziegen-bringen-glueck.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55382-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262488&kennwort=YPNKEGPELRILCG&variante=zoom&rang=01;Bücher-ab-10
"Muser, Martin";"Kannawoniwasein - Manchmal fliegt einem alles um die Ohren";;Carlsen;;"12,00 €";2019;978-3-551-55387-4;"von 10 bis 14 Jahren";"Jola hat Finn in die Sommerferien eingeladen, nach Polen, zu ihren Großeltern aufs Land. Hier warten wieder einmal jede Menge Abenteuer auf die zwei: Mit einem selbstgebauten Floß geht es auf große Fahrt, zusammen mit dem Jungen Antek und seinem dreibeinigen Hund. Dann müssen Finn und Jola noch ganz nebenbei herausfinden, ob Jolas Onkel wirklich eine Leiche im Schuppen versteckt hat und wie man einen Stier mit einem Cabrio fängt. Und am Ende gibt es eine krachende Silvesterfeier - mitten im Sommer.";;gebunden;176;;kannawoniwasein-manchmal-fliegt-einem-alles-um-die-ohren.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55387-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260651&kennwort=HILPQDEITNEDJL&variante=zoom&rang=01;Bücher-ab-10
"Birdsall, Jeanne";"Die Penderwicks im Glück";;Carlsen;"Übersetzung: Hachmeister, Sylke";"15,00 €";2019;978-3-551-55763-6;"von 11 bis 99 Jahren";"Endlich geht die Geschichte der Penderwick-Geschwister weiter.. Es ist wieder Sommer auf Arundel und alle Penderwicks sind zusammengekommen, um Rosalinds Hochzeit zu feiern. Aber bevor es soweit ist, müssen noch die Kleider fertig genäht, ein Film mit Schafen und Außerirdischen gedreht und vor allem muss Mrs Tifton vom Grundstück verjagt werden. Doch wer die Penderwicks kennt, weiß, dass solche Kleinigkeiten sie nicht aus der Ruhe bringen können. Und am Ende wartet auf alle ein rauschendes Fest.. Ein warmherziges, liebevolles Kinderbuch, das ganz eindeutig das Zeug zu einem Klassiker hat.";;gebunden;320;;die-penderwicks-im-glueck.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55763-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75128674&kennwort=OEELODHMOCEJVA&variante=zoom&rang=01;Bücher-ab-10
"Metselaar, Menno; Van Ledden, Piet";"Alles über Anne";"Das Leben der Anne Frank";Carlsen;"Illustration: Scarry, Huck";"6,99 €";2019;978-3-551-31756-8;"von 10 bis 99 Jahren";"Am 6. Juli 1942 macht sich Anne Frank mit ihren Eltern auf in das Versteck im Hinterhaus der Prinsengracht 263, um sich hier vor den Nationalsozialisten zu verbergen. Damals war sie gerade 13 Jahre alt. Zahlreiche Fotos von Anne, ihren Eltern und ihren Freundinnen, zeitgenössische Dokumente wie Zeitungsberichte, Pässe, Plakate, ein leicht zugänglicher Text und viele begleitende Illustrationen erzählen von Annes Leben und ihrem Tod. Ergänzend werden viele Sachinformationen zum Nationalsozialismus vermittelt.";;kartoniert;80;;alles-ueber-anne.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31756-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259075&kennwort=QFINRGIMODPKSC&variante=zoom&rang=01;Bücher-ab-10
"Muser, Martin";"Ein Fall für das Tandem - Das rote Känguru";"Rätselkrimi. Detektivgeschichte mit Wimmel-, Such- und Denkrätseln zum Knobeln und Lösen des Falls";Carlsen;"Illustration: Schulz, Tine";"5,99 €";2019;978-3-551-31812-1;"von 9 bis 14 Jahren";"Elisa Klapp ist Kriminalkommissarin. Anton Stuhl ist Kriminaltechniker. Gemeinsam sind sie: DAS TANDEM. Nicht nur, weil sie ein Spitzen-Team sind, sondern auch, weil ihr Dienstfahrzeug das einzige Polizei-Tandem in ganz Deutschland ist. Pfeilschnell, umweltfreundlich und technisch voll auf Zack. Gemeinsam mit ihrem Polizeispürhund Mops lösen Elisa und Anton die kniffligsten Kriminalfälle. Als aus dem Museum eine wagenradgroße australische Münze auf rätselhafte Weise verschwindet, sind die drei natürlich gleich zur Stelle. Kniffliger Rätselspaß, ideal für die Ferien!";;kartoniert;144;;ein-fall-fuer-das-tandem-das-rote-kaenguru.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31812-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260084&kennwort=LLMQLFMLRDHKOP&variante=zoom&rang=01;Bücher-ab-10
"Tienti, Benjamin";"Unterwegs mit Kaninchen";;"Dressler Verlag GmbH";"Illustration: Kuhl, Anke";"13,00 €";2019;978-3-7915-0102-4;"ab 10 Jahren";"Dieser Roadtrip geht direkt ins Herz.Andrea lebt mit Kaninchen Maikel bei seinem Vater. Bei den dreien herrscht zwar gelegentlich Chaos, aber im Großen und Ganzen kommen sie klar. Bis Fidaa mit ihrer Mutter bei ihnen einzieht. Und Fidaa aus Versehen Maikel fallen lässt. Und Maikel eingeschläfert werden soll. Und Andrea deswegen in einer Nacht- und Nebelaktion nach Süddeutschland aufbricht. Zu seiner Mutter. Mit Maikel in einer Kühlbox. UndFidaa auf den Fersen.""Unterwegs mit Kaninchen"" von Benjamin Tienti ist eine warmherzige, lustige und authentische Geschichte für Kinder ab zehn Jahren.";;gebunden;208;"14,6cm x 21,5cm";unterwegs-mit-kaninchen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7915-0102-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73419613&kennwort=OXCKKREJNSEIKP&variante=zoom&rang=01;Bücher-ab-10
