AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV";Kategorie
"Albertalli, Becky";"Ein Happy End ist erst der Anfang";;Carlsen;"Übersetzung: Herzke, Ingo";"18,00 €";2019;978-3-551-58399-4;"von 14 bis 99 Jahren";"Wenn Leah Schlagzeug spielt, kommt sie nicht so leicht aus dem Takt. Wäre das im echten Leben doch auch so! Aber manchmal fühlt Leah sich, als ob sie von außen auf ihr Leben schaut. Was wird wohl nach der Schulzeit kommen? Wird sie ihre Freunde überhaupt noch sehen? Dieser Gedanke jagt ihr Angst ein - vor allem, weil sie für eine ganz bestimmte Person weitaus mehr empfindet, als sie sich eingestehen will.. Die Fortsetzung des preisgekrönten Fanlieblings ""Nur drei Worte"", der mit dem Deutschen Jugendliteraturpreis ausgezeichnet wurde und auch im Kino als ""Love, Simon"" zu sehen war. Ob eingefleischter Fan oder Creekwood-Neuling - in Leah werden sich alle sofort verlieben!. ""Hat Becky Albertalli mich bespitzelt oder so? Weil Leah genauso ist wie ich. Hundertprozentig."". ""Dieses Buch hat mich RUINIERT. Ich habe geweint, gelacht, geschrien, meine Bettdecke gehauen und das Buch durchs Zimmer geschmissen. [...] Love love love love love love love.""(Leserstimmen auf Goodreads)";;gebunden;352;"15,6cm x 22,2cm";ein-happy-end-ist-erst-der-anfang.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-58399-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260095&kennwort=LLMQLFMLRDHKOR&variante=zoom&rang=01;Bücher-ab-14
"Bach, Tamara";Vierzehn;"Nominiert für den Deutschen Jugendliteraturpreis 2017, Kategorie Jugendbuch und Kategorie Preis der Jugendlichen";Carlsen;;"5,99 €";2019;978-3-551-31818-3;"von 14 bis 99 Jahren";"Nominiert für den Deutschen Jugendliteraturpreis 2017! (Kritikerjury und Jugendjury). Der erste Schultag. Zwei Wochen vor den Sommerferien ist Beh krank geworden und konnte nicht mit den anderen in den Urlaub fahren. Als das neue Schuljahr anfängt, hat sie alle acht Wochen lang nicht gesehen. Viel ist passiert, ihre Freundinnen haben neue Leute kennengelernt und Geschichten zu erzählen. Beh dagegen war nur zu Hause. Aber eigentlich war da mehr, von dem ihre Freundinnen nichts wissen. Zu Hause liegt eine Postkarte für sie im Briefkasten, in der Stadt gibt es ein Zimmer mit blauen Wänden, da ist ein Hund, ein Mädchen mit Schwimmflügeln und lauter Orte, die Beh bis zum Abend noch fotografieren wird, weil ihnen etwas fehlt. Und als Beh am Ende des Tages ihre Zimmertür schließt, hat sie auch jemand bei ihrem vollen Namen genannt.";;kartoniert;112;;vierzehn.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31818-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262247&kennwort=SFINRGKMODPKSC&variante=zoom&rang=01;Bücher-ab-14
"Chee, Traci";"Die Schlacht um Wörter und Blut";;Carlsen;"Übersetzung: Hachmeister, Sylke";"18,99 €";2019;978-3-551-58356-7;"von 14 bis 99 Jahren";"Während um sie herum der Rote Krieg wütet, will Sefia nichts mehr, als Archer zu beschützen. Denn mit dem Brandmal an seinem Hals könnte er der Junge aus den Legenden sein - der Anführer einer riesigen, unaufhaltbaren Armee, der alle fünf Königreiche Kelannas erobert und das Ende des Krieges mit seinem Tod bezahlt. Doch als die Wache die Insel Oxzini einnimmt, müssen Archer und Sefia sich entscheiden, ob sie sich in die Schlacht stürzen oder tatenlos zusehen, wie ihre Welt in Stücke gerissen wird.. Das packende Finale der Fantasy-Trilogie, in der Realität und Fiktion miteinander verschmelzen.. Alle der Bände der meisterhaft erzählten Serie:Ein Meer aus Tinte und GoldEin Schatz aus Papier und MagieDie Schlacht um Wörter und Blut";;gebunden;576;;die-schlacht-um-woerter-und-blut.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-58356-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=69867133&kennwort=RKQFILBOKTEMQG&variante=zoom&rang=01;Bücher-ab-14
"Eschbach, Andreas";"Time Out";;Arena;;"9,99 €";2018;978-3-401-50869-6;"ab 14 Jahren";"Christopher und Serenity sind im Hide Out zum Nichtstun verdammt. Während die Kohärenz ihre Fäden immer dichter spinnt, verlieren sie jeden Mut. Als dann auch noch mit viel Werbeaufwand der Lifehook eingeführt wird - mit dem die Menschen fast ohne Aufwand gedanklich kommunizieren können - ahnt Christopher, dass die Kohärenz zum alles entscheidenden Schlag ausgeholt hat. Doch dann hat er eine Idee, wo die Schwachstelle des globalen Netzwerkes liegen könnte. Gemeinsam mit Serenity macht er sich auf, um das Unmögliche zu wagen.";;kartoniert;528;"12,2cm x 19cm";time-out.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-50869-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73509225&kennwort=IJNQRCGRLSBHJN&variante=zoom&rang=01;Bücher-ab-14
"Linke, Dorit";"Wir sehen uns im Westen";;Carlsen;;"4,99 €";2019;978-3-551-31841-1;"von 13 bis 18 Jahren";"Ostberlin im Frühjahr 1988: Nina und Lutz sind verliebt und verbringen so viel Zeit wie möglich miteinander. Sie wissen, dass es plötzlich zu Ende sein kann, denn Ninas Eltern haben einen Ausreiseantrag aus der DDR gestellt. Und tatsächlich muss Nina Ostberlin verlassen, ohne dass sie sich von Lutz verabschieden kann. Aber die beiden schreiben sich Briefe und glauben fest daran, dass sie sich im Westen wiedersehen. Und dann hört Lutz in der Nacht vom 9. November 1989, dass die Grenze offen ist und macht sich auf den Weg zu Nina.";;kartoniert;112;;wir-sehen-uns-im-westen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31841-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262400&kennwort=MMNOCNHONDFJMQ&variante=zoom&rang=01;Bücher-ab-14
"Pettersen, Siri";"Die Rabenringe - Fäulnis";;"Arctis Verlag";"Übersetzung: Mißfeldt, Dagmar";"20,00 €";2019;978-3-03880-014-9;"ab 14 Jahren";"Das Schicksal der Welten liegt jetzt in Hirkas Händen.. Die fulminante Fortsetzung der Fantasy-Reihe 'Die Rabenringe': Band 2 'Fäulnis', der für den norwegischen Bokhandlerprisen nominiert war, handelt von Vorurteilen, Machtgier, Ängsten, Rache und Liebe.";;gebunden;544;"14,4cm x 22,4cm";die-rabenringe-faeulnis.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-03880-014-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=69624683&kennwort=XYFPBKPGMTINBI&variante=zoom&rang=01;Bücher-ab-14
"Scott, Ceylan";"Auf einer Skala von 1 bis 10";;Carlsen;"Übersetzung: Schäfer, Beate";"15,00 €";2019;978-3-551-52111-8;"von 14 bis 99 Jahren";"Iris ist tot. Und Tamar sitzt in Lime Grove, einer geschlossenen Jugendpsychiatrie, wo sie den ganzen Tag lang sinnlose Fragen beantworten soll. Wie fühlst du dich, auf einer Skala von 1 bis 10? Du weißt schon, dass du dich nicht normal verhältst? Was genau ist eigentlich passiert? Aber Tamar sagt nichts. Sie kann einfach nicht erzählen, was mit Iris geschehen ist. Das Monster lässt es nicht zu.. Packend, echt, mitfühlend - dieser Insiderroman liest sich wie ein Thriller und sensibilisiert für die dramatischen Ausmaße psychischer Krankheiten.";;gebunden;224;;auf-einer-skala-von-1-bis-10.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-52111-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259204&kennwort=OXCKKREJNSGIKP&variante=zoom&rang=01;Bücher-ab-14
"Silvera, Adam";"Was mir von dir bleibt";;"Arctis Verlag";"Übersetzung: Kröning, Christel; Fliedner, Hanna";"18,00 €";2019;978-3-03880-022-4;"ab 14 Jahren";"Als Griffins erste Liebe und Exfreund Theo bei einem Unfall stirbt, bricht für ihn eine Welt zusammen. Denn obwohl Theo aufs College nach Kalifornien gezogen war und anfing, Jackson zu daten, hatte Griffin nie daran gezweifelt, dass Theo eines Tages zu ihm zurückkehren würde. Für Griffin beginnt eine Abwärtsspirale. Er verliert sich in seinen Zwängen und selbstzerstörerischen Handlungen, und seine Geheimnisse zerreißen ihn innerlich. Sollte eine Zukunft ohne Theo für ihn überhaupt denkbar sein, muss Griffin sich zuerst seiner eigenen Geschichte stellen - jedem einzelnen Puzzlestück seines noch jungen Lebens.. 'Was mir von dir bleibt' ist der neue herzergreifende Jugendbuch-Roman des New York Times-Bestsellerautors Adam Silvera.";;gebunden;368;"14,8cm x 22,2cm";was-mir-von-dir-bleibt.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-03880-022-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74793173&kennwort=XLBOKTEMQGLRFJ&variante=zoom&rang=01;Bücher-ab-14
"Smit, Lucy van";"The Hurting";"Als du mich gestohlen hast";Carlsen;"Übersetzung: Zeitz, Sophie";"17,00 €";2019;978-3-551-52112-5;"von 14 bis 99 Jahren";"Nordic Noir trifft auf Brontës Sturmhöhe.. Nell glaubt nicht an Liebe auf den ersten Blick - bis sie Lukas begegnet. Dem attraktiven und irgendwie wilden Jungen im Wolfsmantel. Mit Lukas wird ihr Leben schöner, mit ihm kann sie glücklich sein. Doch Lukas verfolgt einen finsteren Plan und als Nell das begreift, ist sie schon mitten im Nirgendwo, hat ein Kind entführt und wird von der Polizei gesucht. Und hier, in der Einsamkeit norwegischer Wälder, beginnt für sie ein Überlebenskampf - gegen die Natur, gegen Wölfe, gegen den Schmerz und gegen den Jungen, den sie liebt.. Dieser Geschichte kann man sich nicht entziehen. Sie wühlt auf, sie überrascht und sie zerreißt einem das Herz!";;gebunden;368;"15,4cm x 21,2cm";the-hurting.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-52112-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262063&kennwort=KMNOCNHONDFJMQ&variante=zoom&rang=01;Bücher-ab-14
"Woltz, Anna";"Hundert Stunden Nacht";;Carlsen;"Übersetzung: Kluitmann, Andrea";"7,99 €";2019;978-3-551-31803-9;"von 14 bis 20 Jahren";"Eine spannende Coming-of-Age-Geschichte vor der einmaligen Kulisse von New York.. Emilia hat sich die Kreditkarte ihres Vaters geschnappt und einen Flug nach New York gebucht. Sie will einfach nur weg. Aber das Apartment, das sie übers Internet gemietet hat, gibt es gar nicht und zu allem Überfluss kündigt sich Wirbelsturm Sandy an. Zum Glück lernt sie Seth, Abby und den ziemlich verrückten Jim kennen. Zusammen kommen sie in der Wohnung von Seth und Abby in SoHo unter. Inzwischen hat der Sturm die Stadt fest im Griff: das Haus beginnt zu wackeln, dann fällt der Strom aus. Die vier müssen immer enger zusammenrücken, ob sie wollen oder nicht.";;kartoniert;256;"12cm x 18,6cm";hundert-stunden-nacht.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31803-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260546&kennwort=QEELODHMQCEJVA&variante=zoom&rang=01;Bücher-ab-14
